MODL,NTAX,NGEN,TRLN,REPL,DATA,MTHD,SMAX,DMAT,STRE,SENL,SEI1,SEI2,SEFP,SEFN,SERF
"100tax+3000gen",100,3000,10M,15,intron,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,10M,15,intron,"RAxML",NA,NA,RAxML,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,15,intron,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,15,intron,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,15,intron,"NJMerge(True,AGID)",30,AGID,True,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,15,intron,"NJMerge(True,log-det)",30,log-det,True,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,16,exon,"NJ(AGID)",NA,AGID,NJ,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,16,exon,"NJ(log-det)",NA,log-det,NJ,101,98,98,6,6,0.061224
"100tax+3000gen",100,3000,10M,16,exon,"ASTRAL",NA,NA,ASTRAL,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,16,exon,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,16,exon,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,16,exon,"SVDquartets",NA,NA,SVDquartets,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,16,exon,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,16,exon,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,16,exon,"RAxML",NA,NA,RAxML,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,16,exon,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,16,exon,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,16,exon,"NJMerge(True,AGID)",30,AGID,True,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,16,exon,"NJMerge(True,log-det)",30,log-det,True,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,16,intron,"NJ(AGID)",NA,AGID,NJ,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,16,intron,"NJ(log-det)",NA,log-det,NJ,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,16,intron,"ASTRAL",NA,NA,ASTRAL,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,16,intron,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,16,intron,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,16,intron,"SVDquartets",NA,NA,SVDquartets,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,16,intron,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,16,intron,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,16,intron,"RAxML",NA,NA,RAxML,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,16,intron,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,16,intron,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,16,intron,"NJMerge(True,AGID)",30,AGID,True,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,16,intron,"NJMerge(True,log-det)",30,log-det,True,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,17,exon,"NJ(AGID)",NA,AGID,NJ,101,98,98,6,6,0.061224
"100tax+3000gen",100,3000,10M,17,exon,"NJ(log-det)",NA,log-det,NJ,101,98,98,13,13,0.132653
"100tax+3000gen",100,3000,10M,17,exon,"ASTRAL",NA,NA,ASTRAL,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,17,exon,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,17,exon,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,17,exon,"SVDquartets",NA,NA,SVDquartets,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,17,exon,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,17,exon,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,7,7,0.071429
"100tax+3000gen",100,3000,10M,17,exon,"RAxML",NA,NA,RAxML,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,17,exon,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,17,exon,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,10M,17,exon,"NJMerge(True,AGID)",30,AGID,True,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,17,exon,"NJMerge(True,log-det)",30,log-det,True,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,17,intron,"NJ(AGID)",NA,AGID,NJ,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,17,intron,"NJ(log-det)",NA,log-det,NJ,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,10M,17,intron,"ASTRAL",NA,NA,ASTRAL,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,17,intron,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,17,intron,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,17,intron,"SVDquartets",NA,NA,SVDquartets,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,17,intron,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,17,intron,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,17,intron,"RAxML",NA,NA,RAxML,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,17,intron,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,17,intron,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,17,intron,"NJMerge(True,AGID)",30,AGID,True,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,17,intron,"NJMerge(True,log-det)",30,log-det,True,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,18,exon,"NJ(AGID)",NA,AGID,NJ,101,98,98,7,7,0.071429
"100tax+3000gen",100,3000,10M,18,exon,"NJ(log-det)",NA,log-det,NJ,101,98,98,18,18,0.183673
"100tax+3000gen",100,3000,10M,18,exon,"ASTRAL",NA,NA,ASTRAL,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,18,exon,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,18,exon,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,8,8,0.081633
"100tax+3000gen",100,3000,10M,18,exon,"SVDquartets",NA,NA,SVDquartets,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,18,exon,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,18,exon,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,10M,18,exon,"RAxML",NA,NA,RAxML,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,18,exon,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,18,exon,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,6,6,0.061224
"100tax+3000gen",100,3000,10M,18,exon,"NJMerge(True,AGID)",30,AGID,True,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,18,exon,"NJMerge(True,log-det)",30,log-det,True,101,98,98,6,6,0.061224
"100tax+3000gen",100,3000,10M,18,intron,"NJ(AGID)",NA,AGID,NJ,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,18,intron,"NJ(log-det)",NA,log-det,NJ,101,98,98,8,8,0.081633
"100tax+3000gen",100,3000,10M,18,intron,"ASTRAL",NA,NA,ASTRAL,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,18,intron,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,18,intron,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,10M,18,intron,"SVDquartets",NA,NA,SVDquartets,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,18,intron,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,18,intron,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,10M,18,intron,"RAxML",NA,NA,RAxML,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,18,intron,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,18,intron,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,18,intron,"NJMerge(True,AGID)",30,AGID,True,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,18,intron,"NJMerge(True,log-det)",30,log-det,True,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,19,exon,"NJ(AGID)",NA,AGID,NJ,101,98,98,7,7,0.071429
"100tax+3000gen",100,3000,10M,19,exon,"NJ(log-det)",NA,log-det,NJ,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,10M,19,exon,"ASTRAL",NA,NA,ASTRAL,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,19,exon,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,19,exon,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,10M,19,exon,"SVDquartets",NA,NA,SVDquartets,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,19,exon,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,19,exon,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,19,exon,"RAxML",NA,NA,RAxML,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,19,exon,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,19,exon,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,19,exon,"NJMerge(True,AGID)",30,AGID,True,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,19,exon,"NJMerge(True,log-det)",30,log-det,True,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,19,intron,"NJ(AGID)",NA,AGID,NJ,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,19,intron,"NJ(log-det)",NA,log-det,NJ,101,98,98,6,6,0.061224
"100tax+3000gen",100,3000,10M,19,intron,"ASTRAL",NA,NA,ASTRAL,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,19,intron,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,19,intron,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,10M,19,intron,"SVDquartets",NA,NA,SVDquartets,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,19,intron,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,19,intron,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,10M,19,intron,"RAxML",NA,NA,RAxML,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,19,intron,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,19,intron,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,10M,19,intron,"NJMerge(True,AGID)",30,AGID,True,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,19,intron,"NJMerge(True,log-det)",30,log-det,True,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,10M,20,exon,"NJ(AGID)",NA,AGID,NJ,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,10M,20,exon,"NJ(log-det)",NA,log-det,NJ,101,98,98,10,10,0.102041
"100tax+3000gen",100,3000,10M,20,exon,"ASTRAL",NA,NA,ASTRAL,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,20,exon,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,20,exon,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,20,exon,"SVDquartets",NA,NA,SVDquartets,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,20,exon,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,6,6,0.061224
"100tax+3000gen",100,3000,10M,20,exon,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,6,6,0.061224
"100tax+3000gen",100,3000,10M,20,exon,"RAxML",NA,NA,RAxML,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,10M,20,exon,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,20,exon,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,10M,20,exon,"NJMerge(True,AGID)",30,AGID,True,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,20,exon,"NJMerge(True,log-det)",30,log-det,True,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,20,intron,"NJ(AGID)",NA,AGID,NJ,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,20,intron,"NJ(log-det)",NA,log-det,NJ,101,98,98,7,7,0.071429
"100tax+3000gen",100,3000,10M,20,intron,"ASTRAL",NA,NA,ASTRAL,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,20,intron,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,20,intron,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,20,intron,"SVDquartets",NA,NA,SVDquartets,101,98,98,0,0,0.000000
"100tax+3000gen",100,3000,10M,20,intron,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,20,intron,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,20,intron,"RAxML",NA,NA,RAxML,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,20,intron,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,20,intron,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,10M,20,intron,"NJMerge(True,AGID)",30,AGID,True,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,10M,20,intron,"NJMerge(True,log-det)",30,log-det,True,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,500K,01,exon,"NJ(AGID)",NA,AGID,NJ,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,500K,01,exon,"NJ(log-det)",NA,log-det,NJ,101,98,98,8,8,0.081633
"100tax+3000gen",100,3000,500K,01,exon,"ASTRAL",NA,NA,ASTRAL,101,98,98,7,7,0.071429
"100tax+3000gen",100,3000,500K,01,exon,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,500K,01,exon,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,500K,01,exon,"SVDquartets",NA,NA,SVDquartets,101,98,98,7,7,0.071429
"100tax+3000gen",100,3000,500K,01,exon,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,10,10,0.102041
"100tax+3000gen",100,3000,500K,01,exon,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,11,11,0.112245
"100tax+3000gen",100,3000,500K,01,exon,"RAxML",NA,NA,RAxML,101,98,98,10,10,0.102041
"100tax+3000gen",100,3000,500K,01,exon,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,500K,01,exon,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,8,8,0.081633
"100tax+3000gen",100,3000,500K,01,exon,"NJMerge(True,AGID)",30,AGID,True,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,500K,01,exon,"NJMerge(True,log-det)",30,log-det,True,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,500K,01,intron,"NJ(AGID)",NA,AGID,NJ,101,98,98,7,7,0.071429
"100tax+3000gen",100,3000,500K,01,intron,"NJ(log-det)",NA,log-det,NJ,101,98,98,6,6,0.061224
"100tax+3000gen",100,3000,500K,01,intron,"ASTRAL",NA,NA,ASTRAL,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,500K,01,intron,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,500K,01,intron,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,6,6,0.061224
"100tax+3000gen",100,3000,500K,01,intron,"SVDquartets",NA,NA,SVDquartets,101,98,98,10,10,0.102041
"100tax+3000gen",100,3000,500K,01,intron,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,12,12,0.122449
"100tax+3000gen",100,3000,500K,01,intron,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,10,10,0.102041
"100tax+3000gen",100,3000,500K,01,intron,"RAxML",NA,NA,RAxML,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,500K,01,intron,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,500K,01,intron,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,7,7,0.071429
"100tax+3000gen",100,3000,500K,01,intron,"NJMerge(True,AGID)",30,AGID,True,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,500K,01,intron,"NJMerge(True,log-det)",30,log-det,True,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,500K,02,exon,"NJ(AGID)",NA,AGID,NJ,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,500K,02,exon,"NJ(log-det)",NA,log-det,NJ,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,500K,02,exon,"ASTRAL",NA,NA,ASTRAL,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,500K,02,exon,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,500K,02,exon,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,500K,02,exon,"SVDquartets",NA,NA,SVDquartets,101,98,98,6,6,0.061224
"100tax+3000gen",100,3000,500K,02,exon,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,500K,02,exon,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,6,6,0.061224
"100tax+3000gen",100,3000,500K,02,exon,"RAxML",NA,NA,RAxML,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,500K,02,exon,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,500K,02,exon,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,500K,02,exon,"NJMerge(True,AGID)",30,AGID,True,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,500K,02,exon,"NJMerge(True,log-det)",30,log-det,True,101,98,98,2,2,0.020408
"100tax+3000gen",100,3000,500K,02,intron,"NJ(AGID)",NA,AGID,NJ,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,500K,02,intron,"NJ(log-det)",NA,log-det,NJ,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,500K,02,intron,"ASTRAL",NA,NA,ASTRAL,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,500K,02,intron,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,500K,02,intron,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,500K,02,intron,"SVDquartets",NA,NA,SVDquartets,101,98,98,8,8,0.081633
"100tax+3000gen",100,3000,500K,02,intron,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,6,6,0.061224
"100tax+3000gen",100,3000,500K,02,intron,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,7,7,0.071429
"100tax+3000gen",100,3000,500K,02,intron,"RAxML",NA,NA,RAxML,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,500K,02,intron,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,500K,02,intron,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,500K,02,intron,"NJMerge(True,AGID)",30,AGID,True,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,500K,02,intron,"NJMerge(True,log-det)",30,log-det,True,101,98,98,3,3,0.030612
"100tax+3000gen",100,3000,500K,03,exon,"NJ(AGID)",NA,AGID,NJ,101,98,98,13,13,0.132653
"100tax+3000gen",100,3000,500K,03,exon,"NJ(log-det)",NA,log-det,NJ,101,98,98,14,14,0.142857
"100tax+3000gen",100,3000,500K,03,exon,"ASTRAL",NA,NA,ASTRAL,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,500K,03,exon,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,10,10,0.102041
"100tax+3000gen",100,3000,500K,03,exon,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,500K,03,exon,"SVDquartets",NA,NA,SVDquartets,101,98,98,11,11,0.112245
"100tax+3000gen",100,3000,500K,03,exon,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,15,15,0.153061
"100tax+3000gen",100,3000,500K,03,exon,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,14,14,0.142857
"100tax+3000gen",100,3000,500K,03,exon,"RAxML",NA,NA,RAxML,101,98,98,13,13,0.132653
"100tax+3000gen",100,3000,500K,03,exon,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,10,10,0.102041
"100tax+3000gen",100,3000,500K,03,exon,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,500K,03,exon,"NJMerge(True,AGID)",30,AGID,True,101,98,98,4,4,0.040816
"100tax+3000gen",100,3000,500K,03,exon,"NJMerge(True,log-det)",30,log-det,True,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,500K,03,intron,"NJ(AGID)",NA,AGID,NJ,101,98,98,10,10,0.102041
"100tax+3000gen",100,3000,500K,03,intron,"NJ(log-det)",NA,log-det,NJ,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,500K,03,intron,"ASTRAL",NA,NA,ASTRAL,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,500K,03,intron,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,500K,03,intron,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,8,8,0.081633
"100tax+3000gen",100,3000,500K,03,intron,"SVDquartets",NA,NA,SVDquartets,101,98,98,11,11,0.112245
"100tax+3000gen",100,3000,500K,03,intron,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,11,11,0.112245
"100tax+3000gen",100,3000,500K,03,intron,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,11,11,0.112245
"100tax+3000gen",100,3000,500K,03,intron,"RAxML",NA,NA,RAxML,101,98,98,11,11,0.112245
"100tax+3000gen",100,3000,500K,03,intron,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,500K,03,intron,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,11,11,0.112245
"100tax+3000gen",100,3000,500K,03,intron,"NJMerge(True,AGID)",30,AGID,True,101,98,98,1,1,0.010204
"100tax+3000gen",100,3000,500K,03,intron,"NJMerge(True,log-det)",30,log-det,True,101,98,98,5,5,0.051020
"100tax+3000gen",100,3000,500K,04,exon,"NJ(AGID)",NA,AGID,NJ,101,98,98,9,9,0.091837
"100tax+3000gen",100,3000,500K,04,exon,"NJ(log-det)",NA,log-det,NJ,101,98,98,12,12,0.122449
"100tax+3000gen",100,3000,500K,04,exon,"ASTRAL",NA,NA,ASTRAL,101,98,98,8,8,0.081633
"100tax+3000gen",100,3000,500K,04,exon,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,8,8,0.081633
"100tax+3000gen",100,3000,500K,04,exon,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,10,10,0.102041
"100tax+3000gen",100,3000,500K,04,exon,"SVDquartets",NA,NA,SVDquartets,101,98,98,15,15,0.153061
